Employee_Index,Feature,SHAP_Value
0,num__Age,-0.09683824918160282
0,num__DailyRate,-0.18732474068271865
0,num__DistanceFromHome,-0.2635531735971557
0,num__Education,-0.019879490334138286
0,num__EnvironmentSatisfaction,0.10884595812129123
0,num__HourlyRate,-0.06528963620428985
0,num__JobInvolvement,-0.0734095020831421
0,num__JobLevel,0.0038827682285792965
0,num__JobSatisfaction,-0.2278421160670176
0,num__MonthlyIncome,0.017555414056009133
0,num__MonthlyRate,0.015649454103928647
0,num__NumCompaniesWorked,1.1366650835256502
0,num__PercentSalaryHike,0.3216668019822937
0,num__PerformanceRating,-0.08551512245455604
0,num__RelationshipSatisfaction,0.10174553675719085
0,num__StockOptionLevel,0.154808288860989
0,num__TotalWorkingYears,0.2080573348572576
0,num__TrainingTimesLastYear,0.37637688800166874
0,num__WorkLifeBalance,0.2817013210967425
0,num__YearsAtCompany,0.0191559197684582
0,num__YearsInCurrentRole,-0.05618571475852954
0,num__YearsSinceLastPromotion,-0.21043057448029864
0,num__YearsWithCurrManager,-0.018138002762794928
0,num__Income_Experience_Ratio,0.054048580066981856
0,num__Promotion_Delay_Ratio,-0.1443645528690591
0,num__Engagement_Score,0.425065460449411
0,num__OverTime_Flag,0.6862045621453251
0,num__Frequent_Travel_Flag,-0.17382585026790623
0,num__Long_Distance_Flag,0.04456518964732389
0,num__Workload_Stress_Score,0.0667942242607093
0,num__Workload_Stress_Flag,0.04812858224245156
0,num__Current_Role_Tenure_Ratio,-0.10179750769854948
0,num__Manager_Tenure_Ratio,-0.14177027420157948
0,cat__BusinessTravel_Non-Travel,0.05767047674858875
0,cat__BusinessTravel_Travel_Frequently,-0.02487972954843868
0,cat__BusinessTravel_Travel_Rarely,0.14874680209659413
0,cat__Department_Human Resources,0.013052029307907177
0,cat__Department_Research & Development,0.11023586321338263
0,cat__Department_Sales,0.23933864969745916
0,cat__EducationField_Human Resources,-0.013289992108288178
0,cat__EducationField_Life Sciences,-0.1702747729736089
0,cat__EducationField_Marketing,0.0035311571366908076
0,cat__EducationField_Medical,0.038298509224976914
0,cat__EducationField_Other,0.036747019613731745
0,cat__EducationField_Technical Degree,-0.04836686705986395
0,cat__Gender_Female,-0.10353054700746302
0,cat__Gender_Male,-0.07768344627375996
0,cat__JobRole_Healthcare Representative,0.08687837331878755
0,cat__JobRole_Human Resources,-0.028627925959618654
0,cat__JobRole_Laboratory Technician,-0.15464954809754938
0,cat__JobRole_Manager,0.010080844261613726
0,cat__JobRole_Manufacturing Director,0.030272618440872312
0,cat__JobRole_Research Director,0.0886294798370615
0,cat__JobRole_Research Scientist,0.02093648800032613
0,cat__JobRole_Sales Executive,0.022442295614351432
0,cat__JobRole_Sales Representative,-0.049393590178243844
0,cat__MaritalStatus_Divorced,0.07308414262170526
0,cat__MaritalStatus_Married,0.04342000355879333
0,cat__MaritalStatus_Single,0.3176817076412849
0,cat__OverTime_No,0.1658734375047163
0,cat__OverTime_Yes,0.1309319865128591
1,num__Age,-0.2826190629592581
1,num__DailyRate,0.2606955481257364
1,num__DistanceFromHome,-0.06708115920097998
1,num__Education,-0.04354555025573148
1,num__EnvironmentSatisfaction,-0.13303394881491157
1,num__HourlyRate,0.02229402211853799
1,num__JobInvolvement,0.20893473669817364
1,num__JobLevel,0.0038827682285792965
1,num__JobSatisfaction,0.13670526964021057
1,num__MonthlyIncome,0.08489317275788867
1,num__MonthlyRate,0.03306872257177239
1,num__NumCompaniesWorked,-0.32327172100270785
1,num__PercentSalaryHike,-0.5229725030040355
1,num__PerformanceRating,0.32169974637666326
1,num__RelationshipSatisfaction,-0.07469181022059676
1,num__StockOptionLevel,-0.07285095946399466
1,num__TotalWorkingYears,0.0767908775340667
1,num__TrainingTimesLastYear,0.004952327473706148
1,num__WorkLifeBalance,-0.02957085691070778
1,num__YearsAtCompany,-0.0641306879204905
1,num__YearsInCurrentRole,0.32689870404962645
1,num__YearsSinceLastPromotion,-0.11933508769229056
1,num__YearsWithCurrManager,-0.09532099324277338
1,num__Income_Experience_Ratio,-0.07466367975280581
